Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PA04,,Available,,,,,,NORMAL
6,PA05,,Available,,,,,,NORMAL
7,PA06,,Available,,,,,,NORMAL
8,PA07,,Available,,,,,,NORMAL
11,PA08,,Available,,,,,,NORMAL
12,PA09,,Available,,,,,,NORMAL
13,PA10,,Available,,,,,,NORMAL
14,PA11,,Available,,,,,,NORMAL
15,PA14,,Available,,,,,,NORMAL
16,PA15,,Available,,,,,,NORMAL
17,PA16,,Available,,,,,,NORMAL
18,PA17,,Available,,,,,,NORMAL
19,PA18,,Available,,,,,,NORMAL
20,PA19,,Available,,,,,,NORMAL
21,PA22,,Available,,,,,,NORMAL
22,PA23,,Available,,,,,,NORMAL
23,PA24,,Available,,,,,,NORMAL
24,PA25,,Available,,,,,,NORMAL
25,PA27,,Available,,,,,,NORMAL
27,PA28,,Available,,,,,,NORMAL
31,PA30,,Available,,,,,,NORMAL
32,PA31,,Available,,,,,,NORMAL
