"Source:","/Users/artempolisskyi/projects/iot-risk-data-logger-nfc-samd21/hardware/iot-data-logger-nfc-samd21.kicad_sch"
"Date:","2023 August 08, Tuesday 00:45:22"
"Tool:","Eeschema 7.0.6-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","ARROW_ELECTRONICS-PURCHASE-URL","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","DIGIKEY-PURCHASE-URL","Description","Height","LCSC Part","LCSC Part ALT","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MOUSER-PURCHASE-URL","MP","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PARTREV","PRICE","Part","STANDARD","TEXAS_INSTRUMENTS-PURCHASE-URL","URL","URL ALT"
"1","1","BT1","2xAAA","Device:Battery","Battery:BatteryHolder_Keystone_2468_2xAAA","https://datasheet.lcsc.com/lcsc/2303201800_Keystone-2468_C254917.pdf","","","","","","","","","","C254917","","","","","","","","","","","","","","","Keystone 2468","","","https://www.lcsc.com/product-detail/Battery-Connectors_Keystone-2468_C254917.html",""
"2","2","C1, C2","22p","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","C1804","","","","","","","","","","","","","","","CL21C220JBANNNC","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21C220JBANNNC_C1804.html",""
"3","1","C3","22u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","","","","C12891","","","","","","","","","","","","","","","CL31A226KAHNNNE","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL31A226KAHNNNE_C12891.html",""
"4","12","C4, C6, C8, C9, C10, C13, C15, C16, C18, C19, C20, C21","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","C1711","","","","","","","","","","","","","","","CL21B104KBCNNNC","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B104KBCNNNC_C1711.html",""
"5","3","C5, C11, C14","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","C1713","","","","","","","","","","","","","","","CL21A106KOQNNNE","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A106KOQNNNE_C1713.html",""
"6","1","C12","4n7","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","C50131","","","","","","","","","","","","","","","CL21B472KBANNNC","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B472KBANNNC_C50131.html",""
"7","1","D1","BAT60A","Diode:BAT60A","Diode_SMD:D_SOD-323_HandSoldering","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9","","","","","","","","","","C5355496","","","","","","","","","","","","","","","BAT60A","","","https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Slkor-SLKORMICRO-Elec-BAT60A_C5355496.html",""
"8","1","D2","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","","C84260","","","","","","","","","","","","","","","NCD0805G1","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD0805G1_C84260.html",""
"9","1","D3","PRTR5V0U2X","Power_Protection:PRTR5V0U2X","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf","","","","","","","","","","C2827688","","","","","","","","","","","","","","","PRTR5V0U2X","","","https://www.lcsc.com/product-detail/ESD-Protection-Devices_TECH-PUBLIC-PRTR5V0U2X_C2827688.html",""
"10","1","F1","MSMF010 0.01A","Device:Polyfuse","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~","","","","","","","","","","C12430","","","","","","","","","","","","","","","MF-MSMF010-2","","","https://www.lcsc.com/product-detail/Resettable-Fuses_BOURNS-MF-MSMF010-2_C12430.html",""
