Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT_NFC_30x40,1,Antenna_Loop,
"BT1, BT2",BAT-AAA-LR03,2,LR03 AAA 1Ah,
"C1, C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,12p,
"C10, C13, C15, C16, C19, C20, C21, C4, C6, C8, C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,11,100n,
C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1u,
C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,4n7,
"C14, C18, C5, C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,10u,
C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,22u,
D1,D_SOD-323_HandSoldering,1,BAT60A,
D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED,
D3,SOT-143,1,PRTR5V0U2X,
F1,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,1,MSMF010 0.01A,
FB1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,330,
IC1,TSSOP-8_4.4x3mm_P0.65mm,1,ST25DV04KC,
IC2,SON50P210X200X60-9N,1,BU27030NUC-E2,
J1,PinHeader_2x05_P2.54mm_Vertical,1,ARM-JTAG-SWD-10,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
Q1,SOT-23,1,IRLML6401,
"R1, R11, R2, R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,10k,
"R10, R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,4k7,
"R3, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,1k,
R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,1M,
"R6, R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,5k1,
"TP1, TP10, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,10,TestPoint_Probe,
U1,SOT-89-3,1,L78L33_SOT89,
U2,QFP80P900X900X120-32N,1,ATSAMD21E17D-AUT,
U3,TSSOP-8_4.4x3mm_P0.65mm,1,AT25DF041B-XMHN-B,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,ATECC608A,
U5,SOT-23,1,TPD2E009DBZR,
U6,Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm,1,SHT30-DIS,
U7,QFN-16_0.5MM-EXTRA,1,MMA8452Q,
Y1,Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering,1,KX-327NHT,
