Designator,Mid X,Mid Y,Rotation,Layer
AE1,94.5,-49.0,0.0,top
BT1,84.831,-47.995,180.0,bottom
BT2,73.66,-90.0,0.0,bottom
C1,84.963,-78.74,0.0,top
C10,102.108,-46.228,-90.0,top
C11,70.485,-83.82,-90.0,top
C12,63.5,-67.691,0.0,bottom
C13,79.375,-68.839,0.0,top
C14,79.375,-66.934,0.0,top
C15,76.6075,-51.313,-90.0,top
C16,68.3525,-58.4465,90.0,top
C18,86.6405,-51.435,-90.0,top
C19,88.773,-51.435,-90.0,top
C2,84.963,-76.708,0.0,top
C20,78.5125,-51.313,-90.0,top
C21,68.3525,-53.599,-90.0,top
C3,85.0,-66.489,-90.0,top
C4,82.5,-65.989,-90.0,top
C5,63.5,-77.47,180.0,bottom
C6,89.535,-81.915,90.0,top
C7,63.5,-69.85,180.0,bottom
C8,72.39,-66.934,90.0,top
C9,72.39,-83.82,90.0,top
D1,63.48,-81.28,0.0,top
D2,63.0,-69.0,180.0,top
D3,62.865,-83.82,90.0,top
F1,75.565,-86.995,-90.0,top
FB1,79.375,-65.029,180.0,top
IC1,96.52,-46.355,0.0,top
IC2,63.0,-53.0,90.0,top
J1,79.38,-88.27,90.0,top
J2,61.0,-84.0,90.0,bottom
Q1,71.755,-87.63,90.0,top
R1,68.58,-87.63,90.0,top
R10,74.2725,-61.489,-90.0,top
R11,84.963,-73.66,180.0,top
R2,66.675,-87.63,-90.0,bottom
R3,85.725,-81.915,-90.0,top
R4,87.63,-81.915,-90.0,top
R5,63.5,-65.532,0.0,bottom
R6,66.7004,-87.646,90.0,top
R7,62.992,-86.4616,180.0,top
R8,63.135,-74.295,180.0,top
R9,76.2725,-61.489,-90.0,top
U1,63.5,-73.66,180.0,bottom
U2,74.7025,-75.189,180.0,top
U3,69.6225,-65.029,-90.0,top
U4,72.7975,-53.34,-90.0,top
U5,75.4645,-65.489,-90.0,top
U6,63.0,-61.0,90.0,top
U7,82.5765,-53.34,0.0,top
Y1,81.788,-77.724,90.0,top
